,store,addr,lat,lng
58,4.19사거리점,서울 강북구 삼양로 501 (수유동),37.5467270340876,127.134809493652
59,가오리역점,서울 강북구 삼각산로 108 (수유동),37.6406008108564,127.016163948133
60,미아꿈의숲해링턴점,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스)",37.6169375235603,127.034460650104
61,미아역점,서울 강북구 도봉로 207 -3(미아동),37.6270583442503,127.02547799375
62,미아중앙점,서울 강북구 도봉로 128 (미아동),37.6204702944714,127.028752360124
63,번동점,"서울 강북구 오현로 194 (번동, 덕수빌딩)",37.6288359683906,127.03987378053
64,북한산점,서울 강북구 4.19로 85 (수유동),37.6447601874917,127.005613427587
65,수유사거리점,"서울 강북구 덕릉로 82 (수유동, 제네스타워)",0.0,0.0
66,수유역점,서울 강북구 도봉로 355 (수유동),0.0,0.0
67,우이역도선사점,서울 강북구 삼양로173길 21 (우이동),0.0,0.0
68,한신대점,서울 강북구 덕릉로 31 (수유동),0.0,0.0
69,가양역점,서울 강서구 양천로 500 (등촌동),0.0,0.0
70,강서nc점,서울 강서구 강서로54길 11 (등촌동),0.0,0.0
71,강서구청점,"서울 강서구 화곡로 292 (화곡동, 서광프리메라)",0.0,0.0
72,강서한강자이점,서울 강서구 양천로 401 (가양동),0.0,0.0
73,개화산역점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",37.5722836809967,126.80696733511
74,개화산점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",37.5723030060453,126.806994113323
75,공항시장역점,"서울 강서구 방화동로 37 (방화동, 메디스타워)",37.5641822785808,126.810682079138
76,김해국제공항국내선점,부산 강서구 공항진입로 108 (대저2동),0.0,0.0
77,김해국제공항국제선점,부산 강서구 공항진입로 108 (대저2동),0.0,0.0
78,까치산로점,서울 강서구 까치산로 182 (화곡동),0.0,0.0
79,까치산역점,서울 강서구 강서로17길 6 (화곡동),0.0,0.0
80,등촌3동성당점,"서울 강서구 강서로56길 110 (등촌동, SJC빌딩)",37.5588989867375,126.844878507014
81,등촌동점,"서울 강서구 공항대로61길 20 (염창동, 우리프리머스)",0.0,0.0
82,등촌역점,서울 강서구 등촌로 217 (등촌동),0.0,0.0
83,렘넌트문화센터점,"서울 강서구 화곡로63길 65 (등촌동, 예원교회)",37.55786209369936,126.84945198496683
84,마곡대방디엠씨티점,"서울 강서구 양천로 344 (마곡동, 마곡센트럴대방디엠시티오피스텔)",37.56843913691685,126.84038658631331
85,마곡엠밸리점,"서울 강서구 마곡서로 101 (마곡동, 동익드미라벨복합빌딩)",37.5626706927393,126.823605646871
86,마곡중앙점,"서울 강서구 마곡중앙6로 66 (마곡동, 퀸즈파크텐)",37.5626706927393,126.823605646871
87,마곡퀸즈파크9점,"서울 강서구 공항대로 247 (마곡동, 퀸즈파크나인)",37.5593135416408,126.83523920295
88,마곡파인스퀘어점,"서울 강서구 마곡중앙4로 22 (마곡동, 파인스퀘어)",37.5582813792344,126.829290828058
89,마곡헤리움점,"서울 강서구 마곡중앙5로1길 25 (마곡동, 마곡헤리움2차)",37.5692420716795,126.826138036672
90,발산역점,서울 강서구 공항대로 280 (내발산동),37.55807272536136,126.8383941467497
91,방화동로점,서울 강서구 방화동로 95 (방화동),37.5690161610357,126.812631152778
92,방화사거리점,"서울 강서구 양천로 72 (방화동, 해성빌딩)",37.5732116324409,126.811777075121
93,방화역점,"서울 강서구 금낭화로 145 (방화동, 에어뷰21-1오피스텔)",37.5783009851923,126.812798304593
94,부산명지너울공원점,부산 강서구 명지국제6로232번길 20 (명지동),37.5783009851923,126.812798304593
95,부산명지점,부산 강서구 명지오션시티8로16번길 25 (명지동),37.5783009851923,126.812798304593
96,부산신호동점,부산 강서구 신호산단5로 42 (신호동),0.0,0.0
97,부산지사명진파크뷰점,"부산 강서구 과학산단2로20번길 11 (지사동, 명진파크뷰)",0.0,0.0
98,서부산유통지구역점,부산 강서구 유통단지1로 53 (대저2동),0.0,0.0
99,신방화역점,"서울 강서구 마곡중앙5로 81 (마곡동, 에스비타운)",37.5671170824829,126.818597219555
100,신방화중앙점,"서울 강서구 방화대로34길 92 (방화동, 불해빌딩)",37.5708583976379,126.821451112442
101,염창동점,서울 강서구 양천로 689 (염창동),37.5708583976379,126.821451112442
102,우장산동점,서울 강서구 우현로 15 (화곡동),0.0,0.0
103,우장산역점,서울 강서구 강서로45길 5 (화곡동),0.0,0.0
104,화곡로점,서울 강서구 화곡로 133 (화곡동),0.0,0.0
105,화곡본동시장점,서울 강서구 까치산로4길 11 (화곡동),37.54223429652289,126.84424724638545
106,화곡사거리점,서울 강서구 곰달래로 135 (화곡동),37.54223429652289,126.84424724638545
107,관악산으뜸점,서울 관악구 신림로 21 (신림동),37.4684727257098,126.944897173087
108,관악우성점,서울 관악구 관악로 232 (봉천동),37.4849644283346,126.95603357684
109,관악하나로마트점,"서울 관악구 남부순환로 1369 (신림동, 관악농협농산물백화점)",37.4801290693885,126.902896907397
110,낙성대역점,서울 관악구 남부순환로 1915 (봉천동),37.4801290693885,126.902896907397
111,난곡사거리점,서울 관악구 남부순환로 1444 (신림동),37.4809279906563,126.911256043771
112,남현홈플러스점,"서울 관악구 과천대로 909 (남현동, 남현프라자)",37.4809279906563,126.911256043771
113,녹두거리점,서울 관악구 신림로 91 (신림동),37.4809279906563,126.911256043771
114,보라매중앙점,"서울 관악구 보라매로 62 (봉천동, 보라매삼성아파트)",37.4809279906563,126.911256043771
115,봉일시장점,서울 관악구 은천로 23 (봉천동),37.4809279906563,126.911256043771
116,봉천역점,서울 관악구 남부순환로 1725 (봉천동),37.4809279906563,126.911256043771
117,봉천현대시장점,서울 관악구 양녕로 39-1 (봉천동),37.4857087156598,126.946749008784
118,서울대중앙점,서울 관악구 남부순환로216길 2 (봉천동),37.48137982242393,126.9490007619789
119,신대방역점,서울 관악구 난곡로 368 (신림동),0.0,0.0
120,신림대학동점,서울 관악구 호암로26길 17 (신림동),0.0,0.0
121,신림문화교점,"서울 관악구 신림로46길 1 (신림동, 서원동성당)",37.4784569907315,126.933022235665
122,신림미성점,서울 관악구 난곡로 250 (신림동),37.4765402893322,126.915984298817
123,신림신화교점,서울 관악구 신림로 199 (신림동),37.475523804882876,126.93620717411919
124,신림역점,서울 관악구 신림로 312 (신림동),37.48218874829938,126.93014982439058
125,신림패션문화점,서울 관악구 봉천로6길 24 (신림동),37.488621134755,126.925430749958
126,청룡중앙점,"서울 관악구 쑥고개로 80 (봉천동, 제이빌딩)",0.0,0.0
127,건대스타시티2호점,"서울 광진구 능동로 92 (자양동, 스타시티몰) 지하 2층 201호",0.0,0.0
128,건대스타시티점,"서울 광진구 아차산로 272 (자양동, 더샵스타시티)",0.0,0.0
129,건대역점,"서울 광진구 아차산로 229 (화양동, 한림타워)",0.0,0.0
