,gu,name,address,brand,gasoline,diesel,self,carwash,charging station,maintenance,shop,open_24,lat,lng
337,중랑구,대원주유소,서울 중랑구 동일로 600,GS칼텍스,1589,1459,Y,Y,N,N,N,N,37.5840333,127.0801082
338,중랑구,동천,서울 중랑구 동일로 654,S-OIL,1599,1467,Y,Y,N,N,N,N,37.5890734,127.0802447
339,중랑구,면목SELF주유소,서울 중랑구 동일로 627,SK에너지,1599,1467,Y,Y,N,Y,N,N,37.5863498,127.0795885
340,중랑구,오천만주유소,서울 중랑구 동일로 547,S-OIL,1607,1467,Y,Y,N,N,N,N,37.5791224,127.0793311
341,중랑구,대양주유소,서울 중랑구 봉우재로 105,GS칼텍스,1610,1467,Y,Y,N,N,N,N,37.5925921,127.0848788
342,중랑구,한인,서울 중랑구 망우로 170,S-OIL,1637,1497,Y,Y,N,Y,N,N,37.5924655,127.071908
343,중랑구,신내주유소,서울 중랑구 용마산로 705,SK에너지,1678,1549,Y,Y,N,N,N,N,37.6141447,127.1010051
344,중랑구,범아주유소,서울 중랑구 동일로 881,S-OIL,1695,1539,N,Y,N,Y,N,N,37.6093111,127.0776725
345,중랑구,신일셀프주유소,서울 중랑구 상봉로 58,SK에너지,1698,1598,Y,Y,N,Y,N,Y,37.5909419,127.0938066
346,중랑구,용마로주유소,서울 중랑구 용마산로 309,SK에너지,1698,1598,Y,Y,N,N,N,N,37.5798777,127.0921819
